Time(sec),A3TDR6MXS6UO5
522.0,65.67856163880666
523.0,65.95862233534841
524.0,66.23868303189018
525.0,66.51874372843194
526.0,66.79880442497371
527.0,67.07886512151548
528.0,67.35892581805724
529.0,67.63898651459901
530.0,67.91904721114078
531.0,68.19910790768253
532.0,68.47916860422431
533.0,68.75922930076607
534.0,69.03928999730783
535.0,69.3193506938496
536.0,69.59941139039137
537.0,69.87947208693313
538.0,70.1595327834749
539.0,70.43959348001667
540.0,70.71965417655842
541.0,70.9997148731002
542.0,71.27977556964196
543.0,71.55983626618372
544.0,71.83989696272549
545.0,72.11995765926726
546.0,72.40001835580901
547.0,72.68007905235079
548.0,72.96013974889256
549.0,73.24020044543433
550.0,73.52026114197608
551.0,73.80032183851786
552.0,74.08038253505961
553.0,74.36044323160138
554.0,74.64050392814315
555.0,74.92056462468491
556.0,75.20062532122668
557.0,75.48068601776845
558.0,75.76074671431022
559.0,76.04080741085197
560.0,76.32086810739375
561.0,76.6009288039355
562.0,76.88098950047727
563.0,77.16105019701904
564.0,77.4411108935608
565.0,77.72117159010256
566.0,78.00123228664434
567.0,78.28129298318609
568.0,78.56135367972787
569.0,78.84141437626963
570.0,79.19429085391226
571.0,79.58637582907073
572.0,79.97566019726378
573.0,80.36494456545684
574.0,80.7570295406153
575.0,81.14911451577379
576.0,81.54119949093226
577.0,81.93328446609073
578.0,82.3253694412492
579.0,82.71745441640766
580.0,83.1039381776353
581.0,83.49602315279378
582.0,83.88810812795225
583.0,84.28019310311072
584.0,84.6722780782692
585.0,85.06436305342767
586.0,85.45644802858614
587.0,85.84293178981378
588.0,86.23501676497224
589.0,86.62710174013071
590.0,87.01918671528918
591.0,87.41127169044766
592.0,87.80335666560613
593.0,88.1954416407646
594.0,88.58472600895766
595.0,88.92359945177319
596.0,89.20366014831495
597.0,89.48372084485672
598.0,89.76378154139849
599.0,90.04384223794025
600.0,90.32390293448202
601.0,90.60396363102379
602.0,90.88402432756556
603.0,91.16408502410732
604.0,91.44414572064909
605.0,91.72420641719086
606.0,92.00426711373261
607.0,92.28432781027439
608.0,92.56438850681614
609.0,92.84444920335791
610.0,93.12450989989968
611.0,93.40457059644145
612.0,93.6846312929832
613.0,93.96469198952498
614.0,94.24475268606673
615.0,94.5248133826085
616.0,94.80487407915027
617.0,95.00651778066035
618.0,95.0149196015566
619.0,95.0149196015566
620.0,95.0149196015566
621.0,95.0149196015566
622.0,95.0149196015566
623.0,95.0149196015566
624.0,95.0149196015566
625.0,95.0149196015566
626.0,95.0149196015566
627.0,95.09333659658829
628.0,95.3649954722338
629.0,95.64505616877557
630.0,95.92511686531734
631.0,96.2051775618591
632.0,96.48523825840087
633.0,96.76529895494264
634.0,97.0453596514844
635.0,97.45144766146996
636.0,98.01156905455349
637.0,98.57169044763702
638.0,99.13181184072054
639.0,99.69193323380408
640.0,100.0
