,A1NRY8F9U4AYE,A3TDR6MXS6UO5,A2YP8M9VHFXZV
10585,-100.0,-100.0,100.0
10595,-100.0,-100.0,100.0
10599,-100.0,-100.0,100.0
10602,-100.0,-100.0,100.0
10614,-100.0,-100.0,100.0
10619,-100.0,-100.0,100.0
10627,-100.0,-100.0,100.0
10631,-100.0,-100.0,100.0
10637,-100.0,-100.0,100.0
10638,-100.0,-100.0,100.0
10641,-100.0,-100.0,100.0
10644,-100.0,-100.0,100.0
10655,-100.0,-100.0,100.0
10661,-100.0,-100.0,100.0
10672,-100.0,-100.0,100.0
10678,-100.0,-100.0,100.0
10690,-100.0,-100.0,100.0
10696,-100.0,-100.0,100.0
10708,-100.0,-100.0,100.0
10713,-100.0,-100.0,100.0
10726,-100.0,-100.0,100.0
10731,-100.0,-100.0,100.0
10742,-100.0,-100.0,100.0
10746,-100.0,-100.0,100.0
10749,-100.0,-100.0,100.0
10760,-100.0,-100.0,100.0
10767,-100.0,-100.0,100.0
10774,-100.0,-100.0,100.0
10778,-100.0,-100.0,100.0
10783,-100.0,-100.0,100.0
10796,-100.0,-100.0,100.0
10798,-100.0,-100.0,100.0
10800,-100.0,-100.0,100.0
10814,-100.0,-100.0,100.0
10818,-100.0,-100.0,100.0
10825,-100.0,-100.0,100.0
10832,-100.0,-100.0,100.0
10836,-100.0,-100.0,100.0
10843,-100.0,-100.0,100.0
10848,-100.0,-100.0,100.0
10855,-100.0,-100.0,100.0
10860,-100.0,-100.0,100.0
10873,-100.0,-100.0,100.0
10878,-100.0,-100.0,100.0
10891,-100.0,-100.0,100.0
10895,-100.0,-100.0,100.0
10908,-100.0,-100.0,100.0
10914,-100.0,-100.0,100.0
10919,-100.0,-100.0,100.0
10926,-100.0,-100.0,100.0
10943,-100.0,-100.0,100.0
10947,-100.0,-100.0,100.0
10949,-100.0,-100.0,100.0
10953,-100.0,-100.0,100.0
10961,-100.0,-99.75,100.0
10964,-100.0,-99.5,100.0
10972,-100.0,-99.25,100.0
10974,-100.0,-99.0,100.0
10978,-100.0,-98.88888888888889,100.0
10983,-100.0,-98.77777777777777,100.0
10996,-100.0,-98.66666666666667,100.0
10998,-100.0,-98.55555555555556,100.0
11000,-100.0,-98.44444444444444,100.0
11014,-100.0,-98.33333333333333,100.0
11018,-100.0,-98.22222222222223,100.0
11031,-100.0,-98.11111111111111,100.0
11032,-100.0,-98.0,100.0
11035,-100.0,-97.75,100.0
11049,-100.0,-97.5,100.0
11052,-100.0,-97.25,100.0
11067,-100.0,-97.0,100.0
11069,-100.0,-96.75,100.0
11074,-100.0,-96.5,100.0
11076,-100.0,-96.25,100.0
11081,-100.0,-96.0,100.0
11091,-100.0,-95.75,100.0
11093,-100.0,-95.5,100.0
11095,-100.0,-95.25,100.0
11100,-100.0,-95.0,100.0
11109,-100.0,-94.5,100.0
11112,-100.0,-94.0,100.0
11119,-100.0,-93.5,100.0
11126,-100.0,-93.0,100.0
11143,-100.0,-92.5,100.0
11144,-100.0,-92.0,100.0
11146,-100.0,-91.5,100.0
11152,-100.0,-91.0,100.0
11161,-100.0,-90.6,100.0
11164,-100.0,-90.2,100.0
11179,-100.0,-89.8,100.0
11181,-100.0,-89.4,100.0
11186,-100.0,-89.0,100.0
11197,-100.0,-88.33333333333333,100.0
11199,-100.0,-87.66666666666667,100.0
11210,-100.0,-87.0,100.0
11215,-100.0,-86.66666666666667,100.0
11216,-100.0,-86.33333333333333,100.0
11228,-100.0,-86.0,100.0
11231,-100.0,-85.33333333333333,100.0
11235,-100.0,-84.66666666666667,100.0
11249,-100.0,-84.0,100.0
11250,-100.0,-83.85714285714286,100.0
11251,-100.0,-83.71428571428571,100.0
11267,-100.0,-83.57142857142857,100.0
11270,-100.0,-83.42857142857143,100.0
11274,-100.0,-83.28571428571429,100.0
11276,-100.0,-83.14285714285714,100.0
11289,-100.0,-83.0,100.0
11292,-100.0,-82.75,100.0
11294,-100.0,-82.5,100.0
11309,-100.0,-82.25,100.0
11311,-100.0,-82.0,100.0
11318,-100.0,-81.75,100.0
11326,-100.0,-81.5,100.0
11327,-100.0,-81.25,100.0
11333,-100.0,-81.0,100.0
11344,-100.0,-80.5,100.0
11352,-100.0,-80.0,100.0
11362,-100.0,-79.8,100.0
11363,-100.0,-79.6,100.0
11379,-100.0,-79.4,100.0
11380,-100.0,-79.2,100.0
11387,-100.0,-79.0,100.0
11397,-100.0,-78.8,100.0
11398,-100.0,-78.6,100.0
11414,-100.0,-78.4,100.0
11415,-100.0,-78.2,100.0
11419,-100.0,-78.0,100.0
11428,-100.0,-77.0,100.0
11432,-100.0,-76.75,100.0
11433,-100.0,-76.5,100.0
11450,-100.0,-76.25,100.0
