,AU2980AA60A2C,AF8GOPFSTWCH8
505097,-100.0,-100.0
505128,-100.0,-100.0
505146,-100.0,-100.0
505179,-100.0,-100.0
505194,-100.0,-100.0
505211,-100.0,-100.0
505229,-100.0,-100.0
505262,-100.0,-100.0
505277,-100.0,-100.0
505294,-100.0,-100.0
505313,-100.0,-100.0
505346,-100.0,-100.0
505379,-100.0,-100.0
505397,-100.0,-100.0
505429,-100.0,-100.0
505461,-100.0,-100.0
505478,-100.0,-100.0
505498,-100.0,-100.0
505511,-100.0,-100.0
505528,-100.0,-100.0
505545,-100.0,-100.0
505563,-100.0,-100.0
505597,-100.0,-100.0
505628,-100.0,-100.0
505646,-100.0,-100.0
505677,-100.0,-100.0
505696,-100.0,-100.0
505728,-100.0,-100.0
505745,-100.0,-100.0
505779,-100.0,-100.0
505796,-100.0,-100.0
505811,-100.0,-100.0
505845,-100.0,-100.0
544034,-100.0,-100.0
