,A1NRY8F9U4AYE,A3QI1RV4HQ9MO,A2Q3SM0KEI497
139316,,,-100.0
139413,,,-100.0
139432,,,-100.0
139472,,,-100.0
139489,,,-100.0
139519,,,-100.0
139532,,,-100.0
139550,,,-100.0
139595,,,-100.0
139612,,,-100.0
139627,,,-100.0
139644,,,-100.0
139658,,,-100.0
139672,,,-100.0
139688,,,-100.0
139706,,,-100.0
139744,,,-100.0
139782,,,-100.0
139855,,,-100.0
139890,,,-100.0
139901,,,-100.0
139947,,,-100.0
139987,,,-100.0
140054,,,-100.0
140100,,,-100.0
140121,,,-100.0
140178,,,-100.0
140195,,,-100.0
140254,,,-100.0
140274,,,-100.0
140310,,,-100.0
140327,,,-100.0
140363,,,-100.0
140380,,,-100.0
140549,,,-100.0
140566,,,-100.0
140637,,,-100.0
140663,,,-100.0
140677,,,-100.0
140694,,,-100.0
140742,,,-100.0
140759,,,-100.0
140791,,,-100.0
140955,,,-100.0
141039,,,-100.0
141060,,,-100.0
141122,,,-100.0
141140,,,-100.0
141175,,,-100.0
141208,,,-100.0
141301,,,-100.0
141382,,,-100.0
141444,,,-100.0
141477,,,-100.0
141568,,,-100.0
141587,,,-100.0
141625,,,-100.0
141645,,,-100.0
141656,,,-100.0
141676,,,-100.0
141825,,,-100.0
141849,,,-100.0
141864,,,-100.0
141884,,,-100.0
142010,,,-100.0
142133,,,-100.0
142216,,,-100.0
142257,,,-100.0
142326,,,-100.0
142348,,,-100.0
142446,,,-100.0
142545,,,-100.0
142649,,,-100.0
142687,,,-100.0
142699,,,-100.0
142724,,,-100.0
144486,,,-100.0
144487,,,-100.0
144501,,,-100.0
144511,,,-100.0
144522,,,-100.0
144535,,,-100.0
144557,,,-100.0
144570,,,-100.0
144593,,,-100.0
144602,,,-100.0
144646,,,-100.0
144661,,,-100.0
144680,,,-100.0
144690,,,-100.0
144714,,,-100.0
144728,,,-100.0
144740,,,-100.0
144763,,,-100.0
144775,,,-100.0
144799,,,-100.0
144809,,,-100.0
144837,,,-100.0
144846,,,-100.0
144871,,,-100.0
144880,,,-100.0
144907,,,-100.0
144913,,,-100.0
144938,,,-100.0
144939,,,-100.0
144964,,,-100.0
144974,,,-100.0
145000,,,-100.0
145008,,,-100.0
145034,,,-100.0
145044,,,-100.0
145070,,,-100.0
145079,,,-100.0
145103,,,-100.0
145114,,,-100.0
145140,,,-100.0
145150,,,-100.0
145165,,,-100.0
145173,,,-100.0
145202,,,-100.0
145209,,,-100.0
145237,,,-100.0
145246,,,-100.0
145270,,,-100.0
145278,,,-100.0
145305,,,-100.0
145314,,,-100.0
145340,,,-100.0
145351,,,-100.0
145382,,,-100.0
145390,,,-100.0
145417,,,-100.0
145426,,,-100.0
145452,,,-100.0
145460,,,-100.0
145488,,,-100.0
145495,,,-100.0
145536,,,-100.0
145547,,,-100.0
145589,,,-100.0
145594,,,-100.0
145646,,,-100.0
145660,,,-100.0
145678,,,-100.0
145692,,,-100.0
145710,,,-100.0
145721,,,-100.0
145756,,,-100.0
145765,,,-100.0
145793,,,-100.0
145802,,,-100.0
145845,,,-100.0
145856,,,-100.0
145901,,,-100.0
145912,,,-100.0
145954,,,-100.0
145964,,,-100.0
145982,,,-100.0
145996,,,-100.0
146011,,,-100.0
146015,,,-100.0
146059,,,-100.0
146072,,,-100.0
146115,,,-100.0
146125,,,-100.0
146165,,,-100.0
146173,,,-100.0
146242,,,-100.0
146253,,,-100.0
146295,,,-100.0
146302,,,-100.0
146335,,,-100.0
146345,,,-100.0
146382,,,-100.0
146389,,,-100.0
146427,,,-100.0
146435,,,-100.0
146453,,,-100.0
146461,,,-100.0
146499,,,-100.0
146506,,,-100.0
146542,,,-100.0
146550,,,-100.0
146588,,,-100.0
146596,,,-100.0
146671,,,-100.0
146680,,,-100.0
146714,,,-100.0
146723,,,-100.0
146761,,,-100.0
146774,,,-100.0
146792,,,-100.0
146800,,,-100.0
146837,,,-100.0
146845,,,-100.0
146872,,,-100.0
146884,,,-100.0
146922,,,-100.0
146936,,,-100.0
146953,,,-100.0
146962,,,-100.0
147001,,,-100.0
147010,,,-100.0
147047,,,-100.0
147056,,,-100.0
147077,,,-100.0
147085,,,-100.0
147121,,,-100.0
147131,,,-100.0
147174,,,-100.0
147182,,,-100.0
147227,,,-100.0
147237,,,-100.0
147272,,,-100.0
147285,,,-100.0
147312,,,-100.0
147322,,,-100.0
147343,,,-100.0
147353,,,-100.0
147394,,,-100.0
147403,,,-100.0
147443,,,-100.0
147453,,,-100.0
147491,,,-100.0
147499,,,-100.0
147527,,,-100.0
147536,,,-100.0
147587,,,-100.0
147599,,,-100.0
147635,,,-100.0
147645,,,-100.0
147687,,,-100.0
147699,,,-100.0
147700,,,-100.0
149659,,,-100.0
149681,,,-100.0
149739,,,-100.0
149808,,,-100.0
149826,,,-100.0
149878,,,-100.0
149894,,,-100.0
149942,,,-100.0
149955,,,-100.0
149999,,,-100.0
150022,,,-100.0
150059,,,-100.0
150138,,,-100.0
150181,,,-100.0
150195,,,-100.0
150216,,,-100.0
150233,,,-100.0
150307,,,-100.0
150320,,,-100.0
150384,,,-100.0
150400,,,-100.0
150441,,,-100.0
150627,,,-100.0
150699,,,-100.0
150757,,,-100.0
150799,,,-100.0
150867,,,-100.0
150892,,,-100.0
150946,,,-100.0
151032,,,-100.0
151122,,,-100.0
151232,,,-100.0
151340,,,-100.0
