,AOEGJLWFISOZQ,AU2980AA60A2C,AJALV8WOILDPA
248052,-100.0,-100.0,-100.0
248068,-100.0,-100.0,-100.0
248085,-100.0,-100.0,-100.0
248102,-100.0,-100.0,-100.0
248118,-100.0,-100.0,-100.0
248135,-100.0,-100.0,-100.0
248152,-100.0,-100.0,-100.0
248169,-100.0,-100.0,-100.0
248185,-100.0,-100.0,-100.0
248202,-100.0,-100.0,-100.0
248218,-100.0,-100.0,-100.0
248235,-100.0,-100.0,-100.0
248252,-100.0,-100.0,-100.0
248268,-100.0,-100.0,-100.0
248285,-100.0,-100.0,-100.0
248302,-100.0,-100.0,-100.0
248318,-100.0,-100.0,-100.0
248335,-100.0,-100.0,-100.0
248352,-100.0,-100.0,-100.0
248369,-100.0,-100.0,-100.0
248385,-100.0,-100.0,-100.0
248402,-100.0,-100.0,-100.0
248418,-100.0,-100.0,-100.0
248436,-100.0,-100.0,-100.0
248452,-100.0,-100.0,-100.0
248468,-100.0,-100.0,-100.0
248485,-100.0,-100.0,-100.0
248502,-100.0,-100.0,-100.0
248518,-100.0,-100.0,-100.0
248535,-100.0,-100.0,-100.0
254860,-100.0,-100.0,-100.0
254878,-100.0,-100.0,-100.0
254894,-100.0,-100.0,-100.0
254910,-100.0,-100.0,-100.0
254926,-100.0,-100.0,-100.0
254943,-100.0,-100.0,-100.0
254960,-100.0,-100.0,-100.0
254977,-100.0,-100.0,-100.0
254993,-100.0,-100.0,-100.0
255010,-100.0,-100.0,-100.0
255026,-100.0,-100.0,-100.0
255043,-100.0,-100.0,-100.0
255060,-100.0,-100.0,-100.0
255077,-100.0,-100.0,-100.0
255093,-100.0,-100.0,-100.0
255110,-100.0,-100.0,-100.0
255126,-100.0,-100.0,-100.0
255293,-100.0,-100.0,-100.0
255310,-100.0,-100.0,-100.0
255327,-100.0,-100.0,-100.0
255343,-100.0,-100.0,-100.0
255360,-100.0,-100.0,-100.0
255377,-100.0,-100.0,-100.0
255393,-100.0,-100.0,-100.0
255410,-100.0,-100.0,-100.0
255427,-100.0,-100.0,-100.0
255443,-100.0,-100.0,-100.0
255460,-100.0,-100.0,-100.0
255477,-100.0,-100.0,-100.0
255593,-100.0,-100.0,-100.0
255611,-100.0,-100.0,-100.0
255627,-100.0,-100.0,-100.0
255643,-100.0,-100.0,-100.0
255660,-100.0,-100.0,-100.0
255676,-100.0,-100.0,-100.0
255693,-100.0,-100.0,-100.0
