,AUOV735LIDVBE,A1NJP8CPZQER4,A4FNENGCDFSOG,AF8GOPFSTWCH8
33578,-100.0,-100.0,-84.0,-100.0
33586,-100.0,-100.0,-84.0,-100.0
33596,-100.0,-100.0,-84.0,-100.0
33611,-100.0,-100.0,-84.0,-100.0
33627,-100.0,-100.0,-84.0,-100.0
33644,-100.0,-100.0,-84.0,-100.0
33660,-100.0,-100.0,-84.0,-100.0
33677,-100.0,-100.0,-84.0,-100.0
33694,-100.0,-100.0,-84.0,-100.0
33709,-100.0,-100.0,-84.0,-100.0
33710,-100.0,-100.0,-84.0,-100.0
33721,-100.0,-100.0,-84.0,-100.0
33727,-100.0,-100.0,-84.0,-100.0
33744,-100.0,-100.0,-84.0,-100.0
33760,-100.0,-100.0,-84.0,-100.0
33777,-100.0,-100.0,-84.0,-100.0
33810,-100.0,-100.0,-84.0,-100.0
33827,-100.0,-100.0,-84.0,-100.0
33844,-100.0,-100.0,-84.0,-100.0
33877,-100.0,-100.0,-84.0,-100.0
33893,-100.0,-100.0,-84.0,-100.0
33910,-100.0,-100.0,-84.0,-100.0
33927,-100.0,-100.0,-84.0,-100.0
33944,-100.0,-100.0,-84.0,-100.0
33961,-100.0,-100.0,-84.0,-100.0
33994,-100.0,-100.0,-84.0,-100.0
34010,-100.0,-100.0,-84.0,-100.0
34044,-100.0,-100.0,-84.0,-100.0
34077,-100.0,-100.0,-84.0,-100.0
34094,-100.0,-100.0,-84.0,-100.0
34127,-100.0,-100.0,-84.0,-100.0
34161,-100.0,-100.0,-84.0,-100.0
34284,-100.0,-100.0,-84.0,-100.0
34300,-100.0,-100.0,-84.0,-100.0
34321,-100.0,-100.0,-84.0,-100.0
34334,-100.0,-100.0,-84.0,-100.0
34361,-100.0,-100.0,-84.0,-100.0
34378,-100.0,-100.0,-84.0,-100.0
34401,-100.0,-100.0,-84.0,-100.0
34418,-100.0,-100.0,-84.0,-100.0
34439,-100.0,-100.0,-84.0,-100.0
34455,-100.0,-100.0,-84.0,-100.0
34461,-100.0,-100.0,-84.0,-100.0
34476,-100.0,-100.0,-84.0,-100.0
34478,-100.0,-100.0,-84.0,-100.0
34492,-100.0,-100.0,-84.0,-100.0
34494,-100.0,-100.0,-84.0,-100.0
34509,-100.0,-100.0,-84.0,-100.0
34511,-100.0,-100.0,-84.0,-100.0
34526,-100.0,-100.0,-84.0,-100.0
34528,-100.0,-100.0,-84.0,-100.0
34544,-100.0,-100.0,-84.0,-100.0
34545,-100.0,-100.0,-84.0,-100.0
34559,-100.0,-100.0,-84.0,-100.0
34561,-100.0,-100.0,-84.0,-100.0
34576,-100.0,-100.0,-84.0,-100.0
34580,-100.0,-100.0,-84.0,-100.0
34591,-100.0,-100.0,-84.0,-100.0
34745,-100.0,-100.0,-84.0,-100.0
34750,-100.0,-100.0,-84.0,-100.0
34763,-100.0,-100.0,-84.0,-100.0
34775,-100.0,-100.0,-84.0,-100.0
34794,-100.0,-100.0,-84.0,-100.0
34795,-100.0,-100.0,-84.0,-100.0
34807,-100.0,-100.0,-84.0,-100.0
34827,-100.0,-100.0,-84.0,-100.0
34844,-100.0,-100.0,-84.0,-100.0
34861,-100.0,-100.0,-84.0,-100.0
34941,-100.0,-100.0,-84.0,-100.0
34955,-100.0,-100.0,-84.0,-100.0
34980,-100.0,-100.0,-84.0,-100.0
35001,-100.0,-100.0,-84.0,-100.0
35170,-100.0,-100.0,-84.0,-100.0
35189,-100.0,-100.0,-84.0,-100.0
35661,-100.0,-100.0,-84.0,-100.0
35685,-100.0,-100.0,-84.0,-100.0
35711,-100.0,-100.0,-84.0,-100.0
35760,-100.0,-100.0,-84.0,-100.0
