,A3UTSRN8QLKWE,A3ST8XFT4X93K,A2YN6Z2DAW88X,A6PO7JT39QQGP
31454,-100.0,-100.0,-100.0,-74.0
31462,-100.0,-100.0,-100.0,-74.0
31486,-100.0,-100.0,-100.0,-74.0
31532,-100.0,-100.0,-100.0,-74.0
31560,-100.0,-100.0,-100.0,-74.0
31667,-100.0,-100.0,-100.0,-74.0
31674,-100.0,-100.0,-100.0,-74.0
31688,-100.0,-100.0,-100.0,-74.0
31691,-100.0,-100.0,-100.0,-74.0
31693,-100.0,-100.0,-100.0,-74.0
31713,-100.0,-100.0,-100.0,-74.0
31717,-100.0,-100.0,-100.0,-74.0
31722,-100.0,-100.0,-100.0,-74.0
31726,-100.0,-100.0,-100.0,-74.0
31739,-100.0,-100.0,-100.0,-74.0
31889,-100.0,-100.0,-100.0,-74.0
31905,-100.0,-100.0,-100.0,-74.0
31917,-100.0,-100.0,-100.0,-74.0
31936,-100.0,-100.0,-100.0,-74.0
31947,-100.0,-100.0,-100.0,-74.0
31966,-100.0,-100.0,-100.0,-74.0
32094,-100.0,-100.0,-100.0,-74.0
32114,-100.0,-100.0,-100.0,-74.0
32122,-100.0,-100.0,-100.0,-74.0
32138,-100.0,-100.0,-100.0,-74.0
32142,-100.0,-100.0,-100.0,-74.0
32149,-100.0,-100.0,-100.0,-74.0
32163,-100.0,-100.0,-100.0,-74.0
32165,-100.0,-100.0,-100.0,-74.0
32166,-100.0,-100.0,-100.0,-74.0
32188,-100.0,-100.0,-100.0,-74.0
32192,-100.0,-100.0,-100.0,-74.0
32213,-100.0,-100.0,-100.0,-74.0
32219,-100.0,-100.0,-100.0,-74.0
32238,-100.0,-100.0,-100.0,-74.0
32240,-100.0,-100.0,-100.0,-74.0
32263,-100.0,-100.0,-100.0,-74.0
32465,-100.0,-100.0,-100.0,-74.0
32490,-100.0,-100.0,-100.0,-74.0
32493,-100.0,-100.0,-100.0,-74.0
32514,-100.0,-100.0,-100.0,-74.0
32517,-100.0,-100.0,-100.0,-74.0
32539,-100.0,-100.0,-100.0,-74.0
32542,-100.0,-100.0,-100.0,-74.0
32564,-100.0,-100.0,-100.0,-74.0
32567,-100.0,-100.0,-100.0,-74.0
32589,-100.0,-100.0,-100.0,-74.0
33464,-100.0,-100.0,-100.0,-74.0
33487,-100.0,-100.0,-100.0,-74.0
33528,-100.0,-100.0,-100.0,-74.0
33549,-100.0,-100.0,-100.0,-74.0
33569,-100.0,-100.0,-100.0,-74.0
33590,-100.0,-100.0,-100.0,-74.0
33612,-100.0,-100.0,-100.0,-74.0
33632,-100.0,-100.0,-100.0,-74.0
33657,-100.0,-100.0,-100.0,-74.0
33675,-100.0,-100.0,-100.0,-74.0
33687,-100.0,-100.0,-100.0,-74.0
33706,-100.0,-100.0,-100.0,-74.0
33727,-100.0,-100.0,-100.0,-74.0
33748,-100.0,-100.0,-100.0,-74.0
33769,-100.0,-100.0,-100.0,-74.0
33790,-100.0,-100.0,-100.0,-74.0
33811,-100.0,-100.0,-100.0,-74.0
33832,-100.0,-100.0,-100.0,-74.0
33853,-100.0,-100.0,-100.0,-74.0
