,A3QFK8SWWMHIW,A3BPENSX5EVJ2,A371SNJNNUY9Z,AN26GE0GN8DP0
45432,-100.0,-100.0,-100.0,42.0
45445,-100.0,-100.0,-100.0,42.5
45448,-100.0,-100.0,-100.0,43.0
45462,-100.0,-100.0,-100.0,43.5
45465,-100.0,-100.0,-100.0,44.0
45480,-100.0,-100.0,-100.0,44.5
45482,-100.0,-100.0,-100.0,45.0
45497,-100.0,-100.0,-100.0,45.5
45499,-100.0,-100.0,-100.0,46.0
45504,-100.0,-100.0,-100.0,46.5
45515,-100.0,-100.0,-100.0,47.0
45522,-100.0,-100.0,-100.0,48.0
45532,-100.0,-100.0,-100.0,49.0
45540,-100.0,-100.0,-100.0,49.5
45549,-100.0,-100.0,-100.0,50.0
45556,-100.0,-100.0,-100.0,50.5
45565,-100.0,-100.0,-100.0,51.0
45574,-100.0,-100.0,-100.0,51.5
45582,-100.0,-100.0,-100.0,52.0
45592,-100.0,-100.0,-100.0,52.5
45599,-100.0,-100.0,-100.0,53.0
45610,-100.0,-100.0,-100.0,53.5
45616,-100.0,-100.0,-100.0,54.0
45628,-100.0,-100.0,-100.0,54.5
45632,-100.0,-100.0,-100.0,55.0
45644,-100.0,-100.0,-100.0,55.5
45649,-100.0,-100.0,-100.0,56.0
45662,-100.0,-100.0,-100.0,57.0
45666,-100.0,-100.0,-100.0,58.0
45680,-100.0,-100.0,-100.0,58.5
45682,-100.0,-100.0,-100.0,59.0
45697,-100.0,-100.0,-100.0,59.5
45699,-100.0,-100.0,-100.0,60.0
45715,-100.0,-100.0,-100.0,60.5
45716,-100.0,-100.0,-100.0,61.0
45722,-100.0,-100.0,-100.0,61.5
45732,-100.0,-100.0,-100.0,62.0
45738,-100.0,-100.0,-100.0,62.5
45749,-100.0,-100.0,-100.0,63.0
45756,-100.0,-100.0,-100.0,63.5
45766,-100.0,-100.0,-100.0,64.0
45774,-100.0,-100.0,-100.0,64.5
45783,-100.0,-100.0,-100.0,65.0
45792,-100.0,-100.0,-100.0,65.33333333333333
45793,-100.0,-100.0,-100.0,65.66666666666667
45799,-100.0,-100.0,-100.0,66.0
45816,-100.0,-100.0,-100.0,68.0
45833,-100.0,-100.0,-100.0,69.0
45849,-100.0,-100.0,-100.0,70.0
45867,-100.0,-100.0,-100.0,71.0
45883,-100.0,-100.0,-100.0,72.0
45900,-100.0,-100.0,-100.0,73.0
45916,-100.0,-100.0,-100.0,74.0
45933,-100.0,-100.0,-100.0,75.0
45950,-100.0,-100.0,-100.0,76.0
45966,-100.0,-100.0,-100.0,78.0
46953,-100.0,-100.0,-100.0,78.0
46970,-100.0,-100.0,-100.0,79.0
47002,-100.0,-100.0,-100.0,81.0
47019,-100.0,-100.0,-100.0,82.0
47037,-100.0,-100.0,-100.0,83.0
47052,-100.0,-100.0,-100.0,84.0
47069,-100.0,-100.0,-100.0,85.0
47086,-100.0,-100.0,-100.0,86.0
47102,-100.0,-100.0,-100.0,88.0
47119,-100.0,-100.0,-100.0,89.0
47136,-100.0,-100.0,-100.0,90.0
47152,-100.0,-100.0,-100.0,91.0
47169,-100.0,-100.0,-100.0,92.0
47336,-100.0,-100.0,-100.0,92.0
47354,-100.0,-100.0,-100.0,93.0
47370,-100.0,-100.0,-100.0,94.0
47386,-100.0,-100.0,-100.0,95.0
47403,-100.0,-100.0,-100.0,96.0
47420,-100.0,-100.0,-100.0,98.0
47436,-100.0,-100.0,-100.0,99.0
47453,-100.0,-100.0,-100.0,100.0
49608,-100.0,-100.0,-100.0,100.0
49609,-100.0,-100.0,-100.0,100.0
49622,-100.0,-100.0,-100.0,100.0
49630,-100.0,-100.0,-100.0,100.0
49646,-100.0,-100.0,-100.0,100.0
49660,-100.0,-100.0,-100.0,100.0
49681,-100.0,-100.0,-100.0,100.0
49695,-100.0,-100.0,-100.0,100.0
49710,-100.0,-100.0,-100.0,100.0
49722,-100.0,-100.0,-100.0,100.0
49738,-100.0,-100.0,-100.0,100.0
49756,-100.0,-100.0,-100.0,100.0
49781,-100.0,-100.0,-100.0,100.0
49791,-100.0,-100.0,-100.0,100.0
49797,-100.0,-100.0,-100.0,100.0
49819,-100.0,-100.0,-100.0,100.0
49829,-100.0,-100.0,-100.0,100.0
49830,-100.0,-100.0,-100.0,100.0
49839,-100.0,-100.0,-100.0,100.0
49855,-100.0,-100.0,-100.0,100.0
49863,-100.0,-100.0,-100.0,100.0
49882,-100.0,-100.0,-100.0,100.0
49887,-100.0,-100.0,-100.0,100.0
49902,-100.0,-100.0,-100.0,100.0
49915,-100.0,-100.0,-100.0,100.0
49919,-100.0,-100.0,-100.0,100.0
49940,-100.0,-100.0,-100.0,100.0
49954,-100.0,-100.0,-100.0,100.0
49960,-100.0,-100.0,-100.0,100.0
49972,-100.0,-100.0,-100.0,100.0
49987,-100.0,-100.0,-100.0,100.0
49989,-100.0,-100.0,-100.0,100.0
50007,-100.0,-100.0,-100.0,100.0
50024,-100.0,-100.0,-100.0,100.0
50031,-100.0,-100.0,-100.0,100.0
50042,-100.0,-100.0,-100.0,100.0
50056,-100.0,-100.0,-100.0,100.0
50060,-100.0,-100.0,-100.0,100.0
50067,-100.0,-100.0,-100.0,100.0
50084,-100.0,-100.0,-100.0,100.0
50087,-100.0,-100.0,-100.0,100.0
50101,-100.0,-100.0,-100.0,100.0
50110,-100.0,-100.0,-100.0,100.0
50119,-100.0,-100.0,-100.0,100.0
50122,-100.0,-100.0,-100.0,100.0
50131,-100.0,-100.0,-100.0,100.0
50140,-100.0,-100.0,-100.0,100.0
50148,-100.0,-100.0,-100.0,100.0
50154,-100.0,-100.0,-100.0,100.0
50171,-100.0,-100.0,-100.0,100.0
50182,-100.0,-100.0,-100.0,100.0
50190,-100.0,-100.0,-100.0,100.0
50206,-100.0,-100.0,-100.0,100.0
50224,-100.0,-100.0,-100.0,100.0
50225,-100.0,-100.0,-100.0,100.0
50242,-100.0,-100.0,-100.0,100.0
50244,-100.0,-100.0,-100.0,100.0
50258,-100.0,-100.0,-100.0,100.0
50265,-100.0,-100.0,-100.0,100.0
50278,-100.0,-100.0,-100.0,100.0
50280,-100.0,-100.0,-100.0,100.0
50285,-100.0,-100.0,-100.0,100.0
50300,-100.0,-100.0,-100.0,100.0
50308,-100.0,-100.0,-100.0,100.0
50336,-100.0,-100.0,-100.0,100.0
50338,-100.0,-100.0,-100.0,100.0
50348,-100.0,-100.0,-100.0,100.0
50353,-100.0,-100.0,-100.0,100.0
50362,-100.0,-100.0,-100.0,100.0
50371,-100.0,-100.0,-100.0,100.0
50381,-100.0,-100.0,-100.0,100.0
50388,-100.0,-100.0,-100.0,100.0
50395,-100.0,-100.0,-100.0,100.0
50405,-100.0,-100.0,-100.0,100.0
50406,-100.0,-100.0,-100.0,100.0
50423,-100.0,-100.0,-100.0,100.0
50440,-100.0,-100.0,-100.0,100.0
50442,-100.0,-100.0,-100.0,100.0
50459,-100.0,-100.0,-100.0,100.0
50477,-100.0,-100.0,-100.0,100.0
