,A2RJBMEEVBZ8E,A1NTYZ6IERUPC
69720,-100.0,-100.0
69737,-100.0,-100.0
69755,-100.0,-100.0
69772,-100.0,-100.0
69790,-100.0,-100.0
69808,-100.0,-100.0
69815,-100.0,-100.0
69832,-100.0,-100.0
69849,-100.0,-100.0
69868,-100.0,-100.0
69884,-100.0,-100.0
69902,-100.0,-100.0
69919,-100.0,-100.0
69936,-100.0,-100.0
69955,-100.0,-100.0
69971,-100.0,-100.0
69989,-100.0,-100.0
70008,-100.0,-100.0
70024,-100.0,-100.0
70042,-100.0,-100.0
70048,-100.0,-100.0
70066,-100.0,-100.0
70084,-100.0,-100.0
70101,-100.0,-100.0
70119,-100.0,-100.0
70136,-100.0,-100.0
70154,-100.0,-100.0
70171,-100.0,-100.0
70189,-100.0,-100.0
70207,-100.0,-100.0
70223,-100.0,-100.0
70241,-100.0,-100.0
70250,-100.0,-100.0
70265,-100.0,-100.0
70283,-100.0,-100.0
70299,-100.0,-100.0
70318,-100.0,-100.0
70360,-100.0,-100.0
70370,-100.0,-100.0
70388,-100.0,-100.0
70389,-100.0,-100.0
70405,-100.0,-100.0
70423,-100.0,-100.0
70438,-100.0,-100.0
70440,-100.0,-100.0
70453,-100.0,-100.0
70458,-100.0,-100.0
70466,-100.0,-100.0
70470,-100.0,-100.0
70482,-100.0,-100.0
70500,-100.0,-100.0
70535,-100.0,-100.0
70553,-100.0,-100.0
70569,-100.0,-100.0
70587,-100.0,-100.0
70605,-100.0,-100.0
70622,-100.0,-100.0
70640,-100.0,-100.0
70658,-100.0,-100.0
70674,-100.0,-100.0
70681,-100.0,-100.0
70700,-100.0,-100.0
70716,-100.0,-100.0
70734,-100.0,-100.0
70753,-100.0,-100.0
70769,-100.0,-100.0
70786,-100.0,-100.0
70804,-100.0,-100.0
70822,-100.0,-100.0
70840,-100.0,-100.0
70856,-100.0,-100.0
70874,-100.0,-100.0
70891,-100.0,-100.0
70899,-100.0,-100.0
70916,-100.0,-100.0
70920,-100.0,-100.0
70933,-100.0,-100.0
70940,-100.0,-100.0
70951,-100.0,-100.0
70954,-100.0,-100.0
70969,-100.0,-100.0
70970,-100.0,-100.0
70986,-100.0,-100.0
70987,-100.0,-100.0
71003,-100.0,-100.0
71005,-100.0,-100.0
71021,-100.0,-100.0
71036,-100.0,-100.0
71038,-100.0,-100.0
71053,-100.0,-100.0
71056,-100.0,-100.0
71073,-100.0,-100.0
71091,-100.0,-100.0
71098,-100.0,-100.0
71117,-100.0,-100.0
71132,-100.0,-100.0
71150,-100.0,-100.0
71168,-100.0,-100.0
71185,-100.0,-100.0
71205,-100.0,-100.0
71221,-100.0,-100.0
71237,-100.0,-100.0
71256,-100.0,-100.0
71273,-100.0,-100.0
71291,-100.0,-100.0
71308,-100.0,-100.0
