,nan_x,nan_y,ASPRULQHB8B1F,AQP4PHYDXRBPI
12634,-100.0,-100.0,-100.0,-100.0
12652,-100.0,-100.0,-100.0,-100.0
12653,-100.0,-100.0,-100.0,-100.0
12656,-100.0,-100.0,-100.0,-100.0
12665,-100.0,-100.0,-100.0,-100.0
12687,-100.0,-100.0,-100.0,-100.0
12692,-100.0,-100.0,-100.0,-100.0
12712,-100.0,-100.0,-100.0,-100.0
12714,-100.0,-100.0,-100.0,-100.0
12724,-100.0,-100.0,-100.0,-100.0
12732,-100.0,-100.0,-100.0,-100.0
12735,-100.0,-100.0,-100.0,-100.0
12739,-100.0,-100.0,-100.0,-100.0
12748,-100.0,-100.0,-100.0,-100.0
12760,-100.0,-100.0,-100.0,-100.0
12762,-100.0,-100.0,-100.0,-100.0
12767,-100.0,-100.0,-100.0,-100.0
12770,-100.0,-100.0,-100.0,-100.0
12784,-100.0,-100.0,-100.0,-100.0
12789,-100.0,-100.0,-100.0,-100.0
12791,-100.0,-100.0,-100.0,-100.0
12792,-100.0,-100.0,-100.0,-100.0
12800,-100.0,-100.0,-100.0,-100.0
12816,-100.0,-100.0,-100.0,-100.0
12818,-100.0,-100.0,-100.0,-100.0
12828,-100.0,-100.0,-100.0,-100.0
12830,-100.0,-100.0,-100.0,-100.0
12834,-100.0,-100.0,-100.0,-100.0
12849,-100.0,-100.0,-100.0,-100.0
12850,-100.0,-100.0,-100.0,-100.0
12853,-100.0,-100.0,-100.0,-100.0
12863,-100.0,-100.0,-100.0,-100.0
12867,-100.0,-100.0,-100.0,-100.0
12873,-100.0,-100.0,-100.0,-100.0
12879,-100.0,-100.0,-100.0,-100.0
12895,-100.0,-100.0,-100.0,-100.0
12904,-100.0,-100.0,-100.0,-100.0
12909,-100.0,-100.0,-100.0,-100.0
12916,-100.0,-100.0,-100.0,-100.0
12921,-100.0,-100.0,-100.0,-100.0
12930,-100.0,-100.0,-100.0,-100.0
12936,-100.0,-100.0,-100.0,-100.0
12940,-100.0,-100.0,-100.0,-100.0
12951,-100.0,-100.0,-100.0,-100.0
12960,-100.0,-100.0,-100.0,-100.0
12964,-100.0,-100.0,-100.0,-100.0
12967,-100.0,-100.0,-100.0,-100.0
