,AY5QB85BMBVU8,A3P9TMATWBA1Q,A8DMLATJZOF4Q,A8WWSKUYQ4X5N
15750,-100.0,-100.0,-100.0,-100.0
15818,-100.0,-100.0,-100.0,-100.0
15844,-100.0,-100.0,-100.0,-100.0
15859,-100.0,-100.0,-100.0,-100.0
15906,-100.0,-100.0,-100.0,-100.0
15966,-100.0,-100.0,-100.0,-100.0
15992,-100.0,-100.0,-100.0,-100.0
16008,-100.0,-100.0,-100.0,-100.0
16063,-100.0,-100.0,-100.0,-100.0
16150,-100.0,-100.0,-100.0,-100.0
16189,-100.0,-100.0,-100.0,-100.0
16203,-100.0,-100.0,-100.0,-100.0
16234,-100.0,-100.0,-100.0,-100.0
16376,-100.0,-100.0,-100.0,-100.0
16403,-100.0,-100.0,-100.0,-100.0
16470,-100.0,-100.0,-100.0,-100.0
16520,-100.0,-100.0,-100.0,-100.0
16532,-100.0,-100.0,-100.0,-100.0
