,A2RG35OL29USI,A2YP8M9VHFXZV,A1L7EVNM2HF85,A2YN6Z2DAW88X,A2Q3SM0KEI497,A1R09GS9W47R5
60235,,-100.0,,-68.0,-100.0,
60245,,-100.0,,-68.0,-100.0,
60248,,-100.0,,-68.0,-100.0,
60255,,-100.0,,-67.75,-100.0,
60258,,-100.0,,-67.5,-100.0,
60276,,-100.0,,-67.25,-100.0,
60277,,-100.0,,-67.0,-100.0,
60280,,-100.0,,-67.0,-100.0,
60289,,-100.0,,-67.0,-100.0,
60297,,-100.0,,-66.5,-100.0,
60304,,-100.0,,-66.0,-100.0,
60314,,-100.0,,-66.0,-100.0,
60318,,-100.0,,-65.5,-100.0,
60321,,-100.0,,-65.0,-100.0,
60339,,-100.0,,-65.0,-100.0,
60361,,-100.0,,-65.0,-100.0,
60365,,-100.0,,-65.0,-100.0,
60374,,-100.0,,-64.66666666666667,-100.0,
60381,,-100.0,,-64.33333333333333,-100.0,
60386,,-100.0,,-64.0,-100.0,
60395,,-100.0,,-63.0,-100.0,
60401,,-100.0,,-62.666666666666664,-100.0,
60402,,-100.0,,-62.333333333333336,-100.0,
60407,,-100.0,,-62.0,-100.0,
60414,,-100.0,,-62.0,-100.0,
60424,,-100.0,,-61.5,-100.0,
60430,,-100.0,,-61.0,-100.0,
60438,,-100.0,,-61.0,-100.0,
60444,,-100.0,,-60.5,-100.0,
60447,,-100.0,,-60.0,-100.0,
60463,,-100.0,,-60.0,-100.0,
60466,,-100.0,,-59.666666666666664,-100.0,
60475,,-100.0,,-59.333333333333336,-100.0,
60476,,-100.0,,-59.0,-100.0,
60483,,-100.0,,-59.0,-100.0,
60495,,-100.0,,-58.0,-100.0,
60497,,-100.0,,-58.0,-100.0,
60504,,-100.0,,-58.0,-100.0,
60508,,-100.0,,-57.666666666666664,-100.0,
60518,,-100.0,,-57.333333333333336,-100.0,
60520,,-100.0,,-57.0,-100.0,
60533,,-100.0,,-57.0,-100.0,
60538,,-100.0,,-57.0,-100.0,
60557,,-100.0,,-57.0,-100.0,
60560,,-100.0,,-56.5,-100.0,
60564,,-100.0,,-56.0,-100.0,
60581,,-100.0,,-56.0,-100.0,
60590,,-100.0,,-56.0,-100.0,
60601,,-100.0,,-55.5,-100.0,
60607,,-100.0,,-55.0,-100.0,
60612,,-100.0,,-55.0,-100.0,
60614,,-100.0,,-54.0,-100.0,
60624,,-100.0,,-54.0,-100.0,
60637,,-100.0,,-54.0,-100.0,
60647,,-100.0,,-53.0,-100.0,
60657,,-100.0,,-53.0,-100.0,
60674,,-100.0,,-52.0,-100.0,
60684,,-100.0,,-52.0,-100.0,
60697,,-100.0,,-51.0,-100.0,
60706,,-100.0,,-51.0,-100.0,
60719,,-100.0,,-50.0,-100.0,
60744,,-100.0,,-50.0,-100.0,
60756,,-100.0,,-49.0,-100.0,
60758,,-100.0,,-49.0,-100.0,
60774,,-100.0,,-49.0,-100.0,
60778,,-100.0,,-49.0,-100.0,
60793,,-100.0,,-48.0,-100.0,
60797,,-100.0,,-48.0,-100.0,
60806,,-100.0,,-47.5,-100.0,
60809,,-100.0,,-47.0,-100.0,
60825,,-100.0,,-46.0,-100.0,
60828,,-100.0,,-45.5,-100.0,
60838,,-100.0,,-45.0,-100.0,
60850,,-100.0,,-45.0,-100.0,
60869,,-100.0,,-44.0,-100.0,
60878,,-100.0,,-44.0,-100.0,
60888,,-100.0,,-43.0,-100.0,
60899,,-100.0,,-43.0,-100.0,
60917,,-100.0,,-42.0,-100.0,
60927,,-100.0,,-42.0,-100.0,
60933,,-100.0,,-41.5,-100.0,
60941,,-100.0,,-41.0,-100.0,
60951,,-100.0,,-41.0,-100.0,
60960,,-100.0,,-40.5,-100.0,
60967,,-100.0,,-40.0,-100.0,
60972,,-100.0,,-40.0,-100.0,
60982,,-100.0,,-39.5,-100.0,
