,AMWN796XA8EMA,A2RG35OL29USI,A1CF1W8CP0DHB,A21LNC7SH15DN
74853,-100.0,-100.0,-100.0,-100.0
74859,-100.0,-100.0,-100.0,-100.0
74865,-100.0,-100.0,-100.0,-100.0
74870,-100.0,-100.0,-100.0,-100.0
74884,-100.0,-100.0,-100.0,-100.0
74901,-100.0,-100.0,-100.0,-100.0
74905,-100.0,-100.0,-100.0,-100.0
74918,-100.0,-100.0,-100.0,-100.0
74922,-100.0,-100.0,-100.0,-100.0
74937,-100.0,-100.0,-100.0,-100.0
74941,-100.0,-100.0,-100.0,-100.0
74948,-100.0,-100.0,-100.0,-100.0
74968,-100.0,-100.0,-100.0,-100.0
74988,-100.0,-100.0,-100.0,-100.0
74996,-100.0,-100.0,-100.0,-100.0
75023,-100.0,-100.0,-100.0,-100.0
75028,-100.0,-100.0,-100.0,-100.0
75032,-100.0,-100.0,-100.0,-100.0
75036,-100.0,-100.0,-100.0,-100.0
75045,-100.0,-100.0,-100.0,-100.0
75053,-100.0,-100.0,-100.0,-100.0
75062,-100.0,-100.0,-100.0,-100.0
75083,-100.0,-100.0,-100.0,-100.0
75086,-100.0,-100.0,-100.0,-100.0
75087,-100.0,-100.0,-100.0,-100.0
75101,-100.0,-100.0,-100.0,-100.0
75105,-100.0,-100.0,-100.0,-100.0
75117,-100.0,-100.0,-100.0,-100.0
75121,-100.0,-100.0,-100.0,-100.0
75138,-100.0,-100.0,-100.0,-100.0
75145,-100.0,-100.0,-100.0,-100.0
75170,-100.0,-100.0,-100.0,-100.0
75174,-100.0,-100.0,-100.0,-100.0
75207,-100.0,-100.0,-100.0,-100.0
75211,-100.0,-100.0,-100.0,-100.0
75241,-100.0,-100.0,-100.0,-100.0
75245,-100.0,-100.0,-100.0,-100.0
75252,-100.0,-100.0,-100.0,-100.0
75256,-100.0,-100.0,-100.0,-100.0
75282,-100.0,-100.0,-100.0,-100.0
75286,-100.0,-100.0,-100.0,-100.0
75289,-100.0,-100.0,-100.0,-100.0
75308,-100.0,-100.0,-100.0,-100.0
75317,-100.0,-100.0,-100.0,-100.0
75321,-100.0,-100.0,-100.0,-100.0
75333,-100.0,-100.0,-100.0,-100.0
75334,-100.0,-100.0,-100.0,-100.0
75340,-100.0,-100.0,-100.0,-100.0
75352,-100.0,-100.0,-100.0,-100.0
75369,-100.0,-100.0,-100.0,-100.0
75374,-100.0,-100.0,-100.0,-100.0
75387,-100.0,-100.0,-100.0,-100.0
75391,-100.0,-100.0,-100.0,-100.0
75397,-100.0,-100.0,-100.0,-100.0
75405,-100.0,-100.0,-100.0,-100.0
75411,-100.0,-100.0,-100.0,-100.0
75416,-100.0,-100.0,-100.0,-100.0
75422,-100.0,-100.0,-100.0,-100.0
75426,-100.0,-100.0,-100.0,-100.0
75439,-100.0,-100.0,-100.0,-100.0
75441,-100.0,-100.0,-100.0,-100.0
75446,-100.0,-100.0,-100.0,-100.0
75463,-100.0,-100.0,-100.0,-100.0
75464,-100.0,-100.0,-100.0,-100.0
75469,-100.0,-100.0,-100.0,-100.0
75483,-100.0,-100.0,-100.0,-100.0
75503,-100.0,-100.0,-100.0,-100.0
75505,-100.0,-100.0,-100.0,-100.0
75509,-100.0,-100.0,-100.0,-100.0
75519,-100.0,-100.0,-100.0,-100.0
75524,-100.0,-100.0,-100.0,-100.0
