,AM2RT8BYNQFDR,A3TDR6MXS6UO5,A1CF1W8CP0DHB,A1CRR9EZ64R0P
42432,-31.0,-93.0,5.0,
42443,-31.0,-93.0,6.0,
42448,-31.0,-93.0,6.0,
42460,-31.0,-93.0,7.0,
42465,-31.0,-93.0,7.0,
42477,-31.0,-93.0,9.0,
42482,-31.0,-93.0,9.0,
42493,-31.0,-93.0,10.0,
42497,-31.0,-93.0,10.0,
42510,-31.0,-93.0,11.0,
42515,-31.0,-93.0,11.0,
42529,-31.0,-93.0,12.0,
42533,-31.0,-93.0,12.0,
42548,-31.0,-93.0,13.0,
42567,-31.0,-93.0,13.0,
42578,-31.0,-93.0,14.0,
42582,-31.0,-93.0,14.0,
42594,-31.0,-93.0,15.0,
42600,-31.0,-93.0,15.0,
42612,-31.0,-93.0,16.0,
42616,-31.0,-93.0,16.0,
42629,-31.0,-93.0,18.0,
42647,-31.0,-93.0,18.0,
42660,-31.0,-93.0,20.0,
42664,-31.0,-93.0,20.0,
42677,-31.0,-93.0,21.0,
42682,-31.0,-93.0,21.0,
42698,-31.0,-93.0,22.0,
42701,-31.0,-93.0,22.0,
42710,-31.0,-93.0,23.0,
42716,-31.0,-93.0,23.0,
42727,-31.0,-93.0,24.0,
42732,-31.0,-93.0,24.0,
42743,-31.0,-93.0,25.0,
42749,-31.0,-93.0,25.0,
42760,-31.0,-93.0,26.0,
42765,-31.0,-93.0,26.0,
42777,-31.0,-93.0,28.0,
42782,-31.0,-93.0,28.0,
42794,-31.0,-93.0,29.0,
42799,-31.0,-93.0,29.0,
42810,-31.0,-93.0,30.0,
42816,-31.0,-93.0,30.0,
42827,-31.0,-93.0,31.0,
42831,-31.0,-93.0,31.0,
42844,-31.0,-93.0,32.0,
42864,-31.0,-93.0,32.0,
42877,-31.0,-93.0,33.0,
42882,-31.0,-93.0,33.0,
42894,-31.0,-93.0,34.0,
42899,-31.0,-93.0,34.0,
42912,-31.0,-93.0,36.0,
42916,-31.0,-93.0,36.0,
42927,-31.0,-93.0,37.0,
