,A2APLCDM5WB4D,AZSSG2REHDX18,AF8GOPFSTWCH8,AD2M4BF7KYVQW,ASL9LVC97FUCZ
23166,36.0,-77.0,-20.0,-96.0,
23182,36.0,-77.0,-20.0,-96.0,
23198,36.0,-77.0,-20.0,-96.0,
23216,36.0,-77.0,-20.0,-96.0,
23232,36.0,-77.0,-20.0,-96.0,
25926,36.0,-77.0,-20.0,-96.0,
25927,36.0,-77.0,-20.0,-96.0,26.0
25993,36.0,-77.0,-20.0,-96.0,27.0
26005,36.0,-77.0,-20.0,-96.0,30.0
26022,36.0,-77.0,-20.0,-96.0,32.0
26043,36.0,-77.0,-20.0,-96.0,34.0
26060,36.0,-77.0,-20.0,-96.0,35.0
26077,36.0,-77.0,-20.0,-96.0,36.0
26093,36.0,-77.0,-20.0,-96.0,37.0
26110,36.0,-77.0,-20.0,-96.0,38.0
26127,36.0,-77.0,-20.0,-96.0,39.0
26143,36.0,-77.0,-20.0,-96.0,40.0
26160,36.0,-77.0,-20.0,-96.0,41.0
26177,36.0,-77.0,-20.0,-96.0,43.0
26193,36.0,-77.0,-20.0,-96.0,44.0
26212,36.0,-77.0,-20.0,-96.0,45.0
26228,36.0,-77.0,-20.0,-96.0,46.0
26260,36.0,-77.0,-20.0,-96.0,48.0
26278,36.0,-77.0,-20.0,-96.0,49.0
26293,36.0,-77.0,-20.0,-96.0,50.0
26310,36.0,-77.0,-20.0,-96.0,51.0
26328,36.0,-77.0,-20.0,-96.0,53.0
26344,36.0,-77.0,-20.0,-96.0,54.0
26361,36.0,-77.0,-20.0,-96.0,55.0
26377,36.0,-77.0,-20.0,-96.0,56.0
26649,36.0,-77.0,-20.0,-96.0,56.0
26666,36.0,-77.0,-20.0,-96.0,56.0
26682,36.0,-77.0,-20.0,-96.0,56.0
26699,36.0,-77.0,-20.0,-96.0,56.0
26716,36.0,-77.0,-20.0,-96.0,56.0
26732,36.0,-77.0,-20.0,-96.0,56.0
26749,36.0,-77.0,-20.0,-96.0,56.0
26766,36.0,-77.0,-20.0,-96.0,56.0
29926,36.0,-77.0,-20.0,-96.0,56.0
29945,36.0,-77.0,-20.0,-96.0,57.0
29976,36.0,-77.0,-20.0,-96.0,59.0
30010,36.0,-77.0,-20.0,-96.0,61.0
30026,36.0,-77.0,-20.0,-96.0,62.0
30060,36.0,-77.0,-20.0,-96.0,64.0
30076,36.0,-77.0,-20.0,-96.0,66.0
30110,36.0,-77.0,-20.0,-96.0,68.0
30126,36.0,-77.0,-20.0,-96.0,69.0
30143,36.0,-77.0,-20.0,-96.0,70.0
32877,36.0,-77.0,-20.0,-96.0,70.0
32894,36.0,-77.0,-20.0,-96.0,71.0
32927,36.0,-77.0,-20.0,-96.0,73.0
32960,36.0,-77.0,-20.0,-96.0,75.0
32977,36.0,-77.0,-20.0,-96.0,76.0
32978,36.0,-77.0,-20.0,-96.0,
38811,36.0,-77.0,-20.0,-96.0,
38855,35.0,-77.0,-20.0,-96.0,
38911,33.0,-77.0,-20.0,-96.0,
38951,31.0,-77.0,-20.0,-96.0,
39012,28.0,-77.0,-20.0,-96.0,
39071,25.0,-77.0,-20.0,-96.0,
39335,23.0,-77.0,-20.0,-96.0,
39392,22.0,-77.0,-20.0,-96.0,
39451,19.0,-77.0,-20.0,-96.0,
39492,18.0,-77.0,-20.0,-96.0,
39671,17.0,-77.0,-20.0,-96.0,
39712,16.0,-77.0,-20.0,-96.0,
39771,13.0,-77.0,-20.0,-96.0,
39832,10.0,-77.0,-20.0,-96.0,
39992,9.0,-77.0,-20.0,-96.0,
40051,8.0,-77.0,-20.0,-96.0,
40111,5.0,-77.0,-20.0,-96.0,
40212,4.0,-77.0,-20.0,-96.0,
40271,3.0,-77.0,-20.0,-96.0,
40311,1.0,-77.0,-20.0,-96.0,
40371,-1.0,-77.0,-20.0,-96.0,
40471,-2.0,-77.0,-20.0,-96.0,
40512,-3.0,-77.0,-20.0,-96.0,
40572,-6.0,-77.0,-20.0,-96.0,
40631,-9.0,-77.0,-20.0,-96.0,
40731,-10.0,-77.0,-20.0,-96.0,
40792,-11.0,-77.0,-20.0,-96.0,
40851,-13.0,-77.0,-20.0,-96.0,
40852,,-77.0,-20.0,-96.0,
45240,,-77.0,-20.0,-96.0,
