,AHLS6AZ1VTNH7,A3UTSRN8QLKWE,A21V0SPZ59EEA
89448,87.0,,
89466,87.0,,
89476,87.0,,
89491,87.0,,
89499,87.0,,
89516,87.0,,
89527,87.0,,
89546,87.0,,
89555,87.0,,
89570,87.0,,
89579,87.0,,
89597,87.0,,
89606,87.0,,
89621,87.0,,
89630,87.0,,
89648,87.0,,
89659,87.0,,
89674,87.0,,
89683,87.0,,
89698,87.0,,
89707,87.0,,
89722,87.0,,
89732,87.0,,
89747,87.0,,
89756,87.0,,
89770,87.0,,
89780,87.0,,
89795,87.0,,
89804,87.0,,
89820,87.0,,
89829,87.0,,
89848,87.0,,
89857,87.0,,
89872,87.0,,
89881,87.0,,
89896,87.0,,
89906,87.0,,
89922,87.0,,
89932,87.0,,
89954,87.0,,
89964,87.0,,
89983,87.0,,
89992,87.0,,
90007,87.0,,
90017,87.0,,
90034,87.0,,
90043,87.0,,
90057,87.0,,
90067,87.0,,
90082,87.0,,
90091,87.0,,
90107,87.0,,
90142,87.0,,
90159,87.0,,
90168,87.0,,
90182,87.0,,
90192,87.0,,
90212,87.0,,
90221,87.0,,
90239,87.0,,
90247,87.0,,
90265,87.0,,
90274,87.0,,
90289,87.0,,
90300,87.0,,
90315,87.0,,
90324,87.0,,
90339,87.0,,
90371,87.0,,
90385,87.0,,
90395,87.0,,
90410,87.0,,
90420,87.0,,
90440,87.0,,
90449,87.0,,
90465,87.0,,
90476,87.0,,
90493,87.0,,
90507,87.0,,
90526,87.0,,
90535,87.0,,
90552,87.0,,
90562,87.0,,
90577,87.0,,
90585,87.0,,
90601,87.0,,
90612,87.0,,
90626,87.0,,
90636,87.0,,
90649,87.0,,
90657,87.0,,
90671,87.0,,
90679,87.0,,
90694,87.0,,
90703,87.0,,
90721,87.0,,
90731,87.0,,
90746,87.0,,
90754,87.0,,
90768,87.0,,
90800,87.0,,
90813,87.0,,
90821,87.0,,
90835,87.0,,
90844,87.0,,
90860,87.0,,
90869,87.0,,
90883,87.0,,
90892,87.0,,
90905,87.0,,
