,AF50K5H2FJWW0,A4WBW7FVQASZE,AQ3KPKZ6UIYPF
18163,-94.0,-100.0,-100.0
18318,-94.0,-100.0,-100.0
18373,-94.0,-100.0,-100.0
18383,-94.0,-100.0,-100.0
18425,-94.0,-100.0,-100.0
18576,-94.0,-100.0,-100.0
18615,-94.0,-100.0,-100.0
18841,-94.0,-100.0,-100.0
18878,-94.0,-100.0,-100.0
18964,-94.0,-100.0,-100.0
19017,-94.0,-100.0,-100.0
19188,-94.0,-100.0,-100.0
19249,-94.0,-100.0,-100.0
19373,-94.0,-100.0,-100.0
19409,-94.0,-100.0,-100.0
19903,-94.0,-100.0,-100.0
19933,-94.0,-100.0,-100.0
19963,-94.0,-100.0,-100.0
20020,-94.0,-100.0,-100.0
20113,-94.0,-100.0,-100.0
20145,-94.0,-100.0,-100.0
20209,-94.0,-100.0,-100.0
20227,-94.0,-100.0,-100.0
20359,-94.0,-100.0,-100.0
20394,-94.0,-100.0,-100.0
20441,-94.0,-100.0,-100.0
20450,-94.0,-100.0,-100.0
20470,-94.0,-100.0,-100.0
20583,-94.0,-100.0,-100.0
20595,-94.0,-100.0,-100.0
20670,-94.0,-100.0,-100.0
20754,-94.0,-100.0,-100.0
20825,-94.0,-100.0,-100.0
20875,-94.0,-100.0,-100.0
20907,-94.0,-100.0,-100.0
20919,-94.0,-100.0,-100.0
20977,-94.0,-100.0,-100.0
21233,-94.0,-100.0,-100.0
21303,-94.0,-100.0,-100.0
21583,-94.0,-100.0,-100.0
21628,-94.0,-100.0,-100.0
21684,-94.0,-100.0,-100.0
21705,-94.0,-100.0,-100.0
21742,-94.0,-100.0,-100.0
21808,-94.0,-100.0,-100.0
21816,-94.0,-100.0,-100.0
21817,-94.0,-100.0,-100.0
21833,-94.0,-100.0,-100.0
21893,-94.0,-100.0,-100.0
21914,-94.0,-100.0,-100.0
21953,-94.0,-100.0,-100.0
21961,-94.0,-100.0,-100.0
22045,-94.0,-100.0,-100.0
22067,-94.0,-100.0,-100.0
22084,-94.0,-100.0,-100.0
22107,-94.0,-100.0,-100.0
22124,-94.0,-100.0,-100.0
22145,-94.0,-100.0,-100.0
22151,-94.0,-100.0,-100.0
22177,-94.0,-100.0,-100.0
22234,-94.0,-100.0,-100.0
22250,-94.0,-100.0,-100.0
22267,-94.0,-100.0,-100.0
22279,-94.0,-100.0,-100.0
22284,-94.0,-100.0,-100.0
22299,-94.0,-100.0,-100.0
22314,-94.0,-100.0,-100.0
22319,-94.0,-100.0,-100.0
22332,-94.0,-100.0,-100.0
22344,-94.0,-100.0,-100.0
22369,-94.0,-100.0,-100.0
22382,-94.0,-100.0,-100.0
22389,-94.0,-100.0,-100.0
22408,-94.0,-100.0,-100.0
22418,-94.0,-100.0,-100.0
22445,-94.0,-100.0,-100.0
22459,-94.0,-100.0,-100.0
